,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
27,wa,m,college,9162.06,29723.0,80.0,0.0,personal auto,four-door car,20.99
28,az,,college,12902.56,86584.0,111.0,2.0,personal auto,four-door car,532.8
29,or,,master,3235.36,75690.0,80.0,1.0,personal auto,four-door car,384.0
30,az,,college,2454.58,23158.0,63.0,1.0,personal auto,four-door car,322.29
31,nv,,high school or below,18975.46,65999.0,237.0,0.0,corporate auto,luxury suv,615.93
32,ca,,bachelor,4715.32,0.0,65.0,0.0,personal auto,four-door car,308.15
33,wa,f,college,4737.87,0.0,130.0,0.0,personal auto,suv,23.82
34,or,,bachelor,4932.92,37260.0,62.0,0.0,corporate auto,four-door car,15.44
35,az,,high school or below,5744.23,68987.0,71.0,0.0,personal auto,four-door car,204.48
36,ca,,bachelor,13891.74,42305.0,117.0,0.0,personal auto,four-door car,561.6
37,or,,master,7380.98,65706.0,91.0,0.0,personal auto,four-door car,436.8
38,or,,bachelor,3090.03,0.0,90.0,0.0,personal auto,two-door car,648.0
39,az,,high school or below,2521.63,53243.0,66.0,2.0,personal auto,four-door car,157.4
40,nv,,high school or below,2652.06,0.0,70.0,1.0,corporate auto,two-door car,484.32
41,or,,college,2771.05,50071.0,71.0,0.0,corporate auto,two-door car,18.92
42,ca,,bachelor,3939.01,60021.0,99.0,0.0,personal auto,four-door car,882.87
43,az,,high school or below,12231.88,43244.0,103.0,0.0,personal auto,sports car,494.4
44,wa,m,doctor,4951.66,46896.0,35354.0,1.0,personal auto,four-door car,31.71
45,or,,doctor,12819.1,10105.0,172.0,3.0,personal auto,suv,0.52
46,az,,bachelor,4468.51,0.0,73.0,3.0,personal auto,four-door car,579.17
47,or,,high school or below,5514.34,23218.0,71.0,0.0,personal auto,two-door car,447.79
48,ca,,bachelor,3343.88,0.0,92.0,0.0,corporate auto,four-door car,529.62
49,az,,high school or below,2294.48,0.0,62.0,0.0,personal auto,four-door car,313.02
50,or,,college,36707.43,24804.0,104.0,0.0,personal auto,suv,593.83
51,ca,,bachelor,33473.35,33190.0,106.0,0.0,corporate auto,suv,508.8
52,nv,,high school or below,7983.43,36014.0,69.0,3.0,special auto,four-door car,173.96
53,wa,f,master,4879.38,67163.0,61.0,2.0,personal auto,two-door car,33.19
54,ca,,bachelor,4294.0,16701.0,113.0,0.0,personal auto,four-door car,831.63
55,az,,college,7164.4,46623.0,91.0,0.0,corporate auto,four-door car,436.8
56,ca,,college,7619.52,64749.0,64.0,0.0,special auto,four-door car,302.57
57,az,,high school or below,3958.0,0.0,101.0,0.0,personal auto,suv,484.8
58,or,,high school or below,4499.49,16969.0,124.0,2.0,personal auto,suv,704.77
59,or,,master,4059.57,11621.0,108.0,0.0,personal auto,four-door car,518.4
60,az,,bachelor,4458.11,17622.0,65.0,1.0,personal auto,four-door car,312.0
61,ca,,bachelor,8110.33,11489.0,105.0,0.0,personal auto,two-door car,504.0
62,or,,bachelor,3339.76,0.0,94.0,0.0,personal auto,two-door car,863.33
63,ca,,high school or below,24261.02,66525.0,100.0,0.0,personal auto,suv,104.33
64,az,,bachelor,6613.97,0.0,63.0,0.0,personal auto,four-door car,676.39
65,wa,,college,2930.69,33663.0,73.0,0.0,personal auto,four-door car,350.4
66,or,,college,8672.19,22547.0,112.0,0.0,corporate auto,suv,537.6
67,az,,high school or below,11638.67,61486.0,97.0,0.0,personal auto,two-door car,465.26
68,or,,bachelor,6846.15,0.0,95.0,0.0,personal auto,two-door car,456.0
69,ca,,college,11727.78,29879.0,102.0,0.0,personal auto,four-door car,500.25
70,or,,high school or below,22643.83,93011.0,113.0,0.0,personal auto,suv,281.45
71,or,,master,2614.47,65186.0,65.0,0.0,personal auto,two-door car,5.43
72,or,,master,2451.75,26840.0,64.0,2.0,personal auto,four-door car,307.2
73,or,,bachelor,6781.27,0.0,104.0,1.0,personal auto,sports car,982.4
74,or,,bachelor,4974.8,75644.0,65.0,3.0,personal auto,two-door car,467.8
75,or,,bachelor,8591.6,38984.0,73.0,0.0,personal auto,four-door car,350.4
76,or,,high school or below,5592.16,71811.0,71.0,0.0,personal auto,four-door car,29.03
77,nv,,college,8009.47,20961.0,67.0,0.0,personal auto,four-door car,321.6
78,wa,f,master,,41275.0,96.0,0.0,personal auto,four-door car,41.12
79,ca,,bachelor,58166.55,61321.0,186.0,1.0,personal auto,luxury car,427.63
80,ca,,college,8025.23,0.0,77.0,0.0,personal auto,two-door car,25.81
81,ca,,high school or below,5780.18,51066.0,74.0,0.0,personal auto,four-door car,787.99
82,ca,,doctor,4118.54,34378.0,102.0,0.0,personal auto,suv,489.6
83,nv,,master,2523.07,43072.0,63.0,0.0,personal auto,four-door car,302.4
84,or,,college,6554.22,25222.0,90.0,0.0,personal auto,four-door car,475.62
85,wa,f,bachelor,5382.75,77552.0,68.0,1.0,corporate auto,four-door car,45.22
86,ca,,college,5926.73,23091.0,96.0,5.0,personal auto,four-door car,460.8
87,ca,,bachelor,2683.47,48269.0,69.0,3.0,corporate auto,four-door car,282.15
88,or,,bachelor,2695.18,32720.0,67.0,0.0,personal auto,four-door car,321.6
89,ca,,college,6047.03,20396.0,76.0,1.0,personal auto,four-door car,364.8
90,or,,college,13171.01,21513.0,119.0,1.0,personal auto,two-door car,679.83
91,wa,f,college,15950.02,0.0,87.0,1.0,personal auto,two-door car,46.04
92,or,,bachelor,2527.65,80744.0,63.0,0.0,corporate auto,four-door car,11.88
93,or,,bachelor,2672.1,52822.0,67.0,0.0,corporate auto,two-door car,350.53
94,ca,,high school or below,5313.29,0.0,77.0,1.0,personal auto,four-door car,863.39
95,or,,bachelor,20946.19,69738.0,74.0,1.0,personal auto,four-door car,492.13
96,az,,master,8375.35,17780.0,109.0,0.0,personal auto,suv,132.59
97,ca,,bachelor,4801.66,18107.0,62.0,0.0,personal auto,four-door car,297.6
98,az,,bachelor,5745.94,57740.0,74.0,3.0,personal auto,four-door car,269.91
99,or,,college,6066.12,32627.0,76.0,0.0,personal auto,two-door car,380.04
100,ca,,college,8002.31,0.0,107.0,0.0,personal auto,suv,513.6
101,ca,,college,2393.92,0.0,70.0,0.0,personal auto,four-door car,425.27
102,or,,bachelor,4762.82,65795.0,62.0,1.0,corporate auto,two-door car,49.01
103,ca,,college,4330.39,60475.0,107.0,0.0,personal auto,four-door car,513.6
104,ca,,high school or below,9402.73,0.0,130.0,0.0,personal auto,suv,936.0
105,or,,bachelor,6966.69,41837.0,88.0,0.0,personal auto,four-door car,142.06
106,ca,,bachelor,7694.06,32303.0,65.0,0.0,personal auto,four-door car,45.15
107,or,,high school or below,8717.56,0.0,117.0,1.0,personal auto,suv,561.6
108,ca,,bachelor,5928.75,40531.0,74.0,0.0,personal auto,two-door car,30.57
109,or,,college,2452.98,79898.0,62.0,1.0,corporate auto,four-door car,271.61
110,ca,,college,6701.57,56398.0,85.0,0.0,personal auto,four-door car,408.0
111,wa,m,high school or below,4996.55,71600.0,63.0,0.0,personal auto,two-door car,46.16
112,az,,college,8492.7,27804.0,109.0,0.0,personal auto,suv,784.8
113,or,,bachelor,7713.49,45506.0,66.0,2.0,personal auto,four-door car,316.8
114,wa,f,master,5185.8,99428.0,6464.0,1.0,personal auto,four-door car,48.05
115,ca,,high school or below,7290.07,0.0,102.0,1.0,corporate auto,suv,489.6
116,or,,high school or below,4772.94,20993.0,133.0,0.0,personal auto,suv,638.4
117,az,,high school or below,6806.49,37839.0,86.0,0.0,personal auto,two-door car,465.63
118,ca,,bachelor,2469.78,92711.0,62.0,0.0,personal auto,two-door car,368.4
119,ca,,college,3103.92,74665.0,78.0,2.0,corporate auto,four-door car,236.9
120,wa,f,college,10484.92,61108.0,89.0,0.0,personal auto,four-door car,49.45
121,ca,,bachelor,8902.74,46833.0,112.0,0.0,personal auto,sports car,64.11
122,or,,high school or below,5499.45,88768.0,68.0,0.0,personal auto,two-door car,326.4
123,ca,,high school or below,15023.6,28262.0,192.0,0.0,personal auto,luxury suv,921.6
124,nv,,bachelor,2509.11,33555.0,63.0,0.0,personal auto,four-door car,101.9
125,or,,college,31221.75,42780.0,113.0,1.0,personal auto,four-door car,542.4
126,or,,master,3133.5,58850.0,78.0,0.0,personal auto,four-door car,143.75
127,az,,college,3837.45,21880.0,97.0,0.0,special auto,four-door car,424.08
128,or,,college,11790.5,25251.0,66.0,0.0,personal auto,four-door car,316.8
129,wa,f,high school or below,2829.86,25317.0,71.0,0.0,personal auto,two-door car,50.42
130,az,,high school or below,4305.81,24188.0,109.0,0.0,personal auto,sports car,523.2
131,nv,,bachelor,5973.98,41611.0,74.0,0.0,special auto,four-door car,113.8
132,or,,bachelor,5670.44,28406.0,72.0,1.0,personal auto,four-door car,192.88
133,az,,college,4731.75,69833.0,118.0,0.0,personal auto,four-door car,828.66
134,az,,high school or below,8026.38,0.0,74.0,0.0,corporate auto,four-door car,532.8
135,az,,high school or below,4022.96,0.0,117.0,0.0,personal auto,suv,975.11
136,or,,high school or below,9618.31,80536.0,119.0,0.0,special auto,sports car,53.8
137,wa,f,bachelors,7255.95,88891.0,89.0,0.0,personal auto,four-door car,50.53
138,or,,college,9552.93,97732.0,79.0,0.0,personal auto,four-door car,289.91
139,az,f,bachelor,10388.55,61222.0,89.0,0.0,special auto,four-door car,392.6
140,or,m,college,2470.12,0.0,74.0,0.0,personal auto,two-door car,721.24
141,az,m,master,5619.07,50335.0,140.0,0.0,personal auto,suv,456.52
142,ca,f,high school or below,9047.12,0.0,127.0,0.0,personal auto,sports car,1088.0
143,wa,f,doctor,2687.31,82210.0,68.0,4.0,personal auto,four-door car,51.96
144,or,f,high school or below,3731.5,0.0,96.0,0.0,personal auto,four-door car,460.8
145,nv,m,bachelor,3660.77,64495.0,92.0,0.0,corporate auto,four-door car,251.99
146,ca,f,college,7928.83,0.0,72.0,0.0,corporate auto,four-door car,345.6
147,az,f,bachelor,5011.75,28859.0,67.0,3.0,corporate auto,two-door car,321.6
148,az,f,high school or below,7988.26,77330.0,99.0,0.0,personal auto,four-door car,99.26
149,or,m,college,3885.46,0.0,105.0,0.0,corporate auto,four-door car,504.0
150,wa,f,high school or below,9357.74,33060.0,117.0,0.0,personal auto,four-door car,56.73
151,wa,m,master,2540.69,42557.0,65.0,0.0,personal auto,four-door car,57.56
152,az,m,high school or below,4885.16,26372.0,126.0,0.0,personal auto,suv,604.8
153,az,f,bachelor,9753.31,17514.0,127.0,0.0,personal auto,suv,8.31
154,ca,f,bachelor,2946.15,89270.0,74.0,0.0,personal auto,four-door car,316.6
155,ca,m,high school or below,2581.11,29757.0,65.0,0.0,personal auto,four-door car,312.0
156,or,m,college,3517.39,51814.0,92.0,0.0,personal auto,four-door car,56.3
157,or,f,bachelor,9743.35,24028.0,82.0,0.0,personal auto,four-door car,393.6
158,az,m,college,3873.65,28142.0,105.0,0.0,personal auto,sports car,701.71
159,az,f,bachelor,7649.28,52705.0,64.0,1.0,personal auto,two-door car,128.71
160,ca,m,high school or below,2287.6,0.0,63.0,0.0,corporate auto,two-door car,679.37
161,wa,f,high school or below,8255.76,54040.0,103.0,0.0,personal auto,suv,59.99
162,ca,f,college,8714.92,0.0,118.0,0.0,personal auto,suv,566.4
163,wa,f,doctor,6819.23,22492.0,85.0,0.0,personal auto,two-door car,61.65
164,ca,m,bachelor,7416.2,0.0,77.0,2.0,personal auto,four-door car,554.4
165,or,m,master,7771.16,21876.0,68.0,0.0,personal auto,four-door car,465.41
166,ca,f,bachelor,6968.34,0.0,69.0,1.0,personal auto,four-door car,496.8
167,ca,f,high school or below,4250.28,0.0,61.0,1.0,personal auto,four-door car,292.8
168,or,f,high school or below,19776.57,70699.0,82.0,0.0,personal auto,four-door car,256.81
169,ca,f,high school or below,21343.47,0.0,74.0,1.0,personal auto,four-door car,355.2
170,ca,m,college,2413.14,27501.0,63.0,0.0,personal auto,four-door car,542.32
171,or,f,doctor,15363.85,15897.0,101.0,0.0,personal auto,four-door car,303.15
172,nv,f,college,8456.96,25141.0,73.0,1.0,personal auto,four-door car,25.44
173,nv,f,college,2189.64,0.0,61.0,3.0,personal auto,four-door car,292.8
174,ca,m,high school or below,5780.18,51066.0,74.0,0.0,personal auto,four-door car,787.99
175,ca,f,bachelor,4639.98,28358.0,117.0,0.0,personal auto,sports car,84.02
176,wa,f,doctor,3824.43,62530.0,95.0,0.0,personal auto,four-door car,61.69
177,az,f,bachelor,5968.12,90972.0,74.0,0.0,personal auto,two-door car,232.93
178,wa,f,bachelor,8590.33,63110.0,72.0,0.0,personal auto,four-door car,68.18
179,ca,f,bachelor,4076.63,29549.0,104.0,0.0,personal auto,sports car,710.43
180,ca,f,bachelor,12252.6,0.0,115.0,1.0,personal auto,four-door car,552.0
181,nv,f,bachelor,16936.27,39411.0,217.0,2.0,personal auto,luxury car,1122.66
182,or,m,high school or below,4892.44,21709.0,62.0,0.0,personal auto,four-door car,408.37
183,nv,m,bachelor,9942.3,67890.0,85.0,0.0,personal auto,four-door car,408.0
184,ca,m,bachelor,3735.84,0.0,110.0,0.0,personal auto,suv,792.0
185,ca,f,high school or below,13117.52,84311.0,111.0,4.0,personal auto,suv,532.8
186,ca,f,college,4574.52,99316.0,114.0,0.0,corporate auto,suv,754.36
187,az,f,bachelor,5470.06,54507.0,138.0,0.0,personal auto,suv,702.99
188,ca,f,bachelor,2978.85,64586.0,76.0,0.0,personal auto,four-door car,206.84
189,or,m,college,6410.97,61709.0,82.0,2.0,personal auto,four-door car,275.4
190,ca,m,master,4479.02,94656.0,111.0,1.0,special auto,suv,459.74
191,ca,f,high school or below,2383.73,0.0,69.0,0.0,special auto,two-door car,496.8
192,ca,m,bachelor,2764.49,61085.0,70.0,1.0,personal auto,two-door car,336.0
193,or,f,bachelor,7920.11,89284.0,67.0,3.0,personal auto,two-door car,321.6
194,az,f,high school or below,6889.1,0.0,63.0,0.0,personal auto,four-door car,302.4
195,wa,f,bachelor,3274.19,31686.0,81.0,0.0,personal auto,four-door car,430.99
196,or,m,high school or below,9951.71,56855.0,255.0,0.0,corporate auto,luxury suv,1836.0
197,or,m,bachelor,2521.56,53703.0,67.0,2.0,special auto,four-door car,67.63
198,wa,f,high school or below,23706.11,0.0,96.0,1.0,personal auto,two-door car,844.48
199,ca,m,college,6047.03,20396.0,76.0,1.0,personal auto,four-door car,364.8
200,ca,f,master,11140.3,27679.0,150.0,0.0,personal auto,suv,722.49
201,nv,f,bachelor,4334.06,23904.0,123.0,3.0,personal auto,suv,590.4
202,az,f,high school or below,2799.75,65351.0,69.0,0.0,corporate auto,four-door car,481.03
203,ca,m,college,7923.14,0.0,113.0,0.0,personal auto,suv,1124.43
204,ca,m,high school or below,3688.11,0.0,63.0,3.0,personal auto,four-door car,669.68
205,ca,m,college,12067.46,0.0,116.0,0.0,personal auto,suv,1284.09
206,ca,f,college,2924.98,64459.0,72.0,0.0,personal auto,four-door car,240.26
207,ca,m,college,15014.09,32961.0,190.0,0.0,corporate auto,suv,912.0
208,or,f,high school or below,9277.23,71416.0,116.0,0.0,corporate auto,suv,556.8
209,wa,f,bachelor,6274.12,68964.0,78.0,0.0,personal auto,four-door car,115.09
210,ca,m,high school or below,3886.65,78108.0,98.0,0.0,personal auto,two-door car,470.4
211,ca,m,college,4386.28,10621.0,67.0,0.0,special auto,four-door car,321.6
212,wa,m,college,11365.27,84910.0,95.0,0.0,corporate auto,two-door car,383.17
213,ca,f,high school or below,5610.96,77493.0,70.0,0.0,special auto,four-door car,307.96
214,az,m,college,2912.89,81097.0,74.0,0.0,personal auto,four-door car,355.2
215,or,f,college,6915.73,96610.0,85.0,0.0,corporate auto,four-door car,520.36
216,or,m,college,6262.66,30110.0,159.0,0.0,corporate auto,sports car,466.44
217,or,f,high school or below,6503.4,22081.0,84.0,0.0,special auto,two-door car,451.67
218,wa,f,high school or below,8007.4,0.0,112.0,0.0,personal auto,sports car,537.6
219,ca,m,college,2929.92,98473.0,72.0,0.0,personal auto,four-door car,345.6
220,or,f,bachelor,5969.55,97431.0,74.0,0.0,personal auto,four-door car,355.2
221,ca,m,bachelor,5473.16,93870.0,69.0,0.0,personal auto,four-door car,331.2
222,nv,m,high school or below,5645.4,50366.0,72.0,0.0,personal auto,four-door car,428.73
223,wa,m,high school or below,6369.26,34498.0,83.0,0.0,personal auto,two-door car,398.4
224,or,f,college,11833.77,16552.0,103.0,0.0,personal auto,suv,494.4
225,or,f,college,6121.11,26787.0,77.0,0.0,personal auto,four-door car,369.6
226,nv,m,college,5159.37,0.0,74.0,0.0,personal auto,two-door car,831.75
227,nv,f,high school or below,2514.59,43860.0,65.0,0.0,corporate auto,four-door car,156.12
228,az,m,high school or below,8668.61,21474.0,114.0,2.0,corporate auto,suv,373.43
229,ca,m,bachelor,4960.97,18174.0,66.0,0.0,corporate auto,four-door car,395.93
230,az,f,bachelor,5504.14,0.0,73.0,0.0,corporate auto,four-door car,350.4
231,az,m,college,7507.46,60920.0,64.0,0.0,personal auto,two-door car,231.2
232,az,m,high school or below,32269.85,41520.0,90.0,0.0,personal auto,four-door car,289.9
233,or,f,bachelor,5657.03,0.0,152.0,0.0,personal auto,suv,729.6
234,az,m,high school or below,5061.76,0.0,68.0,0.0,personal auto,two-door car,326.4
235,ca,m,bachelor,5912.78,72208.0,73.0,0.0,personal auto,two-door car,350.4
236,ca,f,bachelor,15182.28,53863.0,63.0,0.0,personal auto,four-door car,105.77
237,wa,m,college,10747.03,66446.0,136.0,0.0,corporate auto,suv,639.46
238,wa,m,college,2050.62,0.0,61.0,0.0,personal auto,four-door car,292.8
239,wa,f,bachelor,2465.44,64997.0,63.0,1.0,personal auto,four-door car,383.44
240,nv,f,high school or below,5343.12,64460.0,66.0,0.0,corporate auto,two-door car,316.8
241,az,f,college,8119.83,46618.0,67.0,0.0,personal auto,four-door car,99.09
242,or,f,college,4605.27,0.0,64.0,0.0,corporate auto,four-door car,307.2
243,ca,m,college,6408.79,49988.0,84.0,5.0,personal auto,two-door car,566.94
244,ca,f,college,2376.53,0.0,91.0,5.0,personal auto,two-door car,436.8
245,ca,m,bachelor,3211.07,16269.0,86.0,0.0,corporate auto,two-door car,412.8
246,az,f,bachelor,5094.52,72006.0,64.0,0.0,personal auto,four-door car,307.2
247,az,f,high school or below,25755.28,0.0,81.0,2.0,personal auto,four-door car,388.8
248,or,m,bachelor,8672.23,0.0,245.0,0.0,corporate auto,luxury suv,2345.41
249,ca,m,master,8044.73,44320.0,67.0,0.0,personal auto,four-door car,321.6
250,az,f,high school or below,4001.52,19782.0,108.0,0.0,personal auto,two-door car,773.47
251,nv,f,bachelor,16706.12,63933.0,70.0,0.0,personal auto,two-door car,424.88
252,az,m,doctor,8544.41,28224.0,109.0,0.0,personal auto,suv,523.2
253,wa,f,college,7805.31,21073.0,106.0,1.0,personal auto,suv,508.8
254,or,m,bachelor,6112.76,63243.0,77.0,0.0,personal auto,four-door car,364.24
255,nv,m,high school or below,4772.94,20993.0,133.0,0.0,personal auto,suv,638.4
256,or,f,bachelor,10979.1,94827.0,135.0,0.0,personal auto,suv,354.73
257,ca,f,master,5004.26,39161.0,63.0,1.0,personal auto,two-door car,284.0
258,wa,m,bachelor,13223.04,37534.0,84.0,2.0,personal auto,four-door car,403.2
259,or,f,bachelor,2623.32,80210.0,65.0,0.0,corporate auto,four-door car,20.54
260,ca,m,bachelor,17840.2,0.0,62.0,0.0,personal auto,four-door car,385.12
261,ca,f,college,5106.11,30110.0,64.0,0.0,personal auto,four-door car,140.17
262,az,f,college,17930.6,21708.0,68.0,0.0,personal auto,four-door car,326.4
263,az,m,high school or below,5457.34,94731.0,67.0,0.0,personal auto,four-door car,321.6
264,ca,m,bachelor,6563.64,32375.0,83.0,0.0,personal auto,four-door car,398.4
265,or,m,college,4812.53,16531.0,63.0,0.0,corporate auto,four-door car,102.88
266,az,f,master,29328.04,32006.0,94.0,0.0,corporate auto,four-door car,56.87
267,az,f,bachelor,5773.52,81676.0,72.0,0.0,personal auto,two-door car,463.16
268,ca,m,college,6847.12,71038.0,86.0,0.0,corporate auto,four-door car,205.44
269,az,f,high school or below,3595.31,0.0,103.0,0.0,corporate auto,sports car,741.6
270,nv,f,master,22855.61,20832.0,65.0,0.0,personal auto,two-door car,56.37
271,wa,m,high school or below,7859.41,0.0,113.0,0.0,personal auto,suv,813.6
272,or,m,high school or below,4115.58,52405.0,103.0,0.0,personal auto,four-door car,494.4
273,az,f,high school or below,5029.64,0.0,133.0,0.0,personal auto,sports car,795.86
274,wa,f,bachelor,4821.42,26583.0,1005.0,4.0,personal auto,suv,614.4
275,or,m,master,5004.31,25486.0,65.0,0.0,special auto,two-door car,72.44
276,az,m,college,8630.05,24065.0,111.0,0.0,corporate auto,four-door car,532.8
277,az,f,high school or below,9322.09,70435.0,116.0,0.0,personal auto,four-door car,67.88
278,ca,m,college,16727.56,0.0,76.0,2.0,personal auto,two-door car,402.64
279,or,f,high school or below,3652.53,39679.0,92.0,0.0,personal auto,two-door car,641.39
280,nv,m,college,6158.6,0.0,89.0,0.0,personal auto,four-door car,342.48
281,ca,m,bachelor,4376.08,0.0,69.0,4.0,personal auto,two-door car,331.2
282,nv,m,high school or below,5569.46,53565.0,71.0,1.0,personal auto,four-door car,340.8
283,wa,m,bachelor,2576.51,37574.0,66.0,1.0,personal auto,two-door car,412.1
284,wa,m,bachelor,8346.98,48259.0,108.0,0.0,personal auto,two-door car,73.7
285,az,f,high school or below,6323.92,78532.0,78.0,0.0,personal auto,four-door car,374.4
286,az,f,bachelor,5973.14,96163.0,73.0,0.0,corporate auto,four-door car,350.4
287,ca,m,bachelor,4706.68,0.0,72.0,0.0,personal auto,four-door car,345.6
288,ca,m,high school or below,8093.41,0.0,114.0,1.0,personal auto,sports car,722.02
289,wa,m,college,5035.74,72672.0,63.0,0.0,personal auto,four-door car,259.36
290,or,f,bachelor,9027.87,99002.0,112.0,1.0,personal auto,four-door car,537.6
291,ca,m,high school or below,7288.88,79494.0,91.0,0.0,personal auto,four-door car,396.3
292,or,m,master,18042.48,35704.0,225.0,0.0,personal auto,luxury car,358.28
293,az,f,bachelor,4992.06,0.0,71.0,0.0,corporate auto,four-door car,653.39
294,or,f,high school or below,9102.27,26049.0,118.0,0.0,personal auto,two-door car,121.03
295,az,m,doctor,2540.41,70125.0,64.0,0.0,special auto,four-door car,92.81
296,ca,m,college,12941.89,52369.0,110.0,1.0,personal auto,suv,528.0
297,wa,f,bachelor,2365.35,0.0,66.0,2.0,special auto,four-door car,159.64
298,az,m,college,5720.77,41770.0,72.0,0.0,personal auto,four-door car,476.16
299,or,m,high school or below,7035.53,0.0,101.0,0.0,corporate auto,four-door car,727.2
300,ca,m,college,2636.98,31911.0,67.0,0.0,personal auto,four-door car,321.6
301,nv,m,bachelor,5395.83,70051.0,68.0,0.0,corporate auto,four-door car,42.08
302,or,m,high school or below,8382.63,19683.0,117.0,1.0,personal auto,sports car,561.6
303,wa,f,college,31161.75,30916.0,112.0,0.0,personal auto,suv,200.12
304,or,f,bachelor,2887.74,0.0,80.0,0.0,personal auto,four-door car,676.94
305,wa,m,college,7425.85,84302.0,62.0,0.0,personal auto,four-door car,76.61
306,ca,m,bachelor,25585.73,0.0,116.0,0.0,corporate auto,suv,830.62
307,or,m,college,10272.61,60145.0,132.0,0.0,personal auto,suv,580.47
308,or,f,bachelor,4376.36,63774.0,111.0,0.0,personal auto,four-door car,60.04
309,ca,f,bachelor,5318.9,25134.0,67.0,0.0,corporate auto,four-door car,321.6
310,or,m,bachelor,4719.76,37057.0,61.0,1.0,personal auto,four-door car,47.53
311,or,f,high school or below,4428.03,58577.0,110.0,0.0,personal auto,suv,303.87
312,ca,m,high school or below,5879.18,85857.0,73.0,0.0,corporate auto,four-door car,100.62
313,or,f,doctor,9416.91,70602.0,116.0,0.0,personal auto,suv,481.34
314,or,f,master,8288.16,33816.0,106.0,2.0,corporate auto,four-door car,508.8
315,or,m,bachelor,32654.84,0.0,153.0,0.0,personal auto,suv,1101.6
316,or,f,college,4719.45,89642.0,121.0,4.0,corporate auto,suv,86.32
317,ca,f,bachelor,3903.47,60068.0,98.0,0.0,personal auto,two-door car,470.4
318,ca,f,bachelor,5457.26,50044.0,139.0,0.0,personal auto,suv,667.2
319,ca,f,master,2725.36,36650.0,69.0,1.0,personal auto,four-door car,56.6
320,az,f,college,4433.97,50653.0,110.0,0.0,corporate auto,suv,262.87
321,az,f,doctor,5332.46,68931.0,66.0,0.0,personal auto,four-door car,309.58
322,or,m,bachelor,2315.09,0.0,73.0,1.0,corporate auto,four-door car,350.4
323,ca,f,college,5411.95,0.0,73.0,0.0,personal auto,four-door car,365.36
324,ca,m,bachelor,9587.33,39266.0,80.0,0.0,personal auto,four-door car,384.0
325,ca,m,college,22103.51,0.0,102.0,0.0,personal auto,suv,489.6
326,nv,f,high school or below,9764.95,0.0,98.0,1.0,personal auto,four-door car,705.6
327,nv,f,bachelor,2567.15,40864.0,65.0,0.0,corporate auto,four-door car,9.52
328,or,f,college,2650.62,39035.0,68.0,0.0,personal auto,four-door car,244.56
329,ca,m,bachelor,11264.36,34923.0,98.0,0.0,personal auto,two-door car,639.11
330,ca,m,high school or below,2168.52,0.0,63.0,0.0,personal auto,four-door car,453.6
331,ca,f,high school or below,8610.67,0.0,111.0,0.0,corporate auto,suv,532.8
332,ca,f,college,2834.65,24506.0,71.0,0.0,personal auto,two-door car,511.2
333,or,m,high school or below,8930.14,0.0,82.0,0.0,personal auto,four-door car,554.52
