,region,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
103,west region,,college,4330.39,60475.0,107.0,0.0,personal auto,four-door car,513.6
104,west region,,high school or below,9402.73,37823.32,130.0,0.0,personal auto,suv,936.0
105,north west,,bachelor,6966.69,41837.0,88.0,0.0,personal auto,four-door car,142.06
106,west region,,bachelor,7694.06,32303.0,65.0,0.0,personal auto,four-door car,45.15
107,north west,,high school or below,8717.56,37823.32,117.0,1.0,personal auto,suv,561.6
108,west region,,bachelor,5928.75,40531.0,74.0,0.0,personal auto,two-door car,30.57
109,north west,,college,2452.98,79898.0,62.0,1.0,corporate auto,four-door car,271.61
110,west region,,college,6701.57,56398.0,85.0,0.0,personal auto,four-door car,408.0
111,east,m,high school or below,4996.55,71600.0,63.0,0.0,personal auto,two-door car,46.16
112,central,,college,8492.7,27804.0,109.0,0.0,personal auto,suv,784.8
113,north west,,bachelor,7713.49,45506.0,66.0,2.0,personal auto,four-door car,316.8
114,east,f,master,5185.8,99428.0,6464.0,1.0,personal auto,four-door car,48.05
115,west region,,high school or below,7290.07,37823.32,102.0,1.0,corporate auto,suv,489.6
116,north west,,high school or below,4772.94,20993.0,133.0,0.0,personal auto,suv,638.4
117,central,,high school or below,6806.49,37839.0,86.0,0.0,personal auto,two-door car,465.63
118,west region,,bachelor,2469.78,92711.0,62.0,0.0,personal auto,two-door car,368.4
119,west region,,college,3103.92,74665.0,78.0,2.0,corporate auto,four-door car,236.9
120,east,f,college,10484.92,61108.0,89.0,0.0,personal auto,four-door car,49.45
121,west region,,bachelor,8902.74,46833.0,112.0,0.0,personal auto,sports car,64.11
122,north west,,high school or below,5499.45,88768.0,68.0,0.0,personal auto,two-door car,326.4
123,west region,,high school or below,15023.6,28262.0,192.0,0.0,personal auto,luxury suv,921.6
124,central,,bachelor,2509.11,33555.0,63.0,0.0,personal auto,four-door car,101.9
125,north west,,college,31221.75,42780.0,113.0,1.0,personal auto,four-door car,542.4
126,north west,,master,3133.5,58850.0,78.0,0.0,personal auto,four-door car,143.75
127,central,,college,3837.45,21880.0,97.0,0.0,special auto,four-door car,424.08
128,north west,,college,11790.5,25251.0,66.0,0.0,personal auto,four-door car,316.8
129,east,f,high school or below,2829.86,25317.0,71.0,0.0,personal auto,two-door car,50.42
130,central,,high school or below,4305.81,24188.0,109.0,0.0,personal auto,sports car,523.2
131,central,,bachelor,5973.98,41611.0,74.0,0.0,special auto,four-door car,113.8
132,north west,,bachelor,5670.44,28406.0,72.0,1.0,personal auto,four-door car,192.88
133,central,,college,4731.75,69833.0,118.0,0.0,personal auto,four-door car,828.66
134,central,,high school or below,8026.38,37823.32,74.0,0.0,corporate auto,four-door car,532.8
135,central,,high school or below,4022.96,37823.32,117.0,0.0,personal auto,suv,975.11
136,north west,,high school or below,9618.31,80536.0,119.0,0.0,special auto,sports car,53.8
137,east,f,bachelors,7255.95,88891.0,89.0,0.0,personal auto,four-door car,50.53
138,north west,,college,9552.93,97732.0,79.0,0.0,personal auto,four-door car,289.91
139,central,f,bachelor,10388.55,61222.0,89.0,0.0,special auto,four-door car,392.6
140,north west,m,college,2470.12,37823.32,74.0,0.0,personal auto,two-door car,721.24
141,central,m,master,5619.07,50335.0,140.0,0.0,personal auto,suv,456.52
142,west region,f,high school or below,9047.12,37823.32,127.0,0.0,personal auto,sports car,1088.0
143,east,f,doctor,2687.31,82210.0,68.0,4.0,personal auto,four-door car,51.96
144,north west,f,high school or below,3731.5,37823.32,96.0,0.0,personal auto,four-door car,460.8
145,central,m,bachelor,3660.77,64495.0,92.0,0.0,corporate auto,four-door car,251.99
146,west region,f,college,7928.83,37823.32,72.0,0.0,corporate auto,four-door car,345.6
147,central,f,bachelor,5011.75,28859.0,67.0,3.0,corporate auto,two-door car,321.6
148,central,f,high school or below,7988.26,77330.0,99.0,0.0,personal auto,four-door car,99.26
149,north west,m,college,3885.46,37823.32,105.0,0.0,corporate auto,four-door car,504.0
150,east,f,high school or below,9357.74,33060.0,117.0,0.0,personal auto,four-door car,56.73
151,east,m,master,2540.69,42557.0,65.0,0.0,personal auto,four-door car,57.56
152,central,m,high school or below,4885.16,26372.0,126.0,0.0,personal auto,suv,604.8
153,central,f,bachelor,9753.31,17514.0,127.0,0.0,personal auto,suv,8.31
154,west region,f,bachelor,2946.15,89270.0,74.0,0.0,personal auto,four-door car,316.6
155,west region,m,high school or below,2581.11,29757.0,65.0,0.0,personal auto,four-door car,312.0
156,north west,m,college,3517.39,51814.0,92.0,0.0,personal auto,four-door car,56.3
157,north west,f,bachelor,9743.35,24028.0,82.0,0.0,personal auto,four-door car,393.6
158,central,m,college,3873.65,28142.0,105.0,0.0,personal auto,sports car,701.71
159,central,f,bachelor,7649.28,52705.0,64.0,1.0,personal auto,two-door car,128.71
160,west region,m,high school or below,2287.6,37823.32,63.0,0.0,corporate auto,two-door car,679.37
161,east,f,high school or below,8255.76,54040.0,103.0,0.0,personal auto,suv,59.99
162,west region,f,college,8714.92,37823.32,118.0,0.0,personal auto,suv,566.4
163,east,f,doctor,6819.23,22492.0,85.0,0.0,personal auto,two-door car,61.65
164,west region,m,bachelor,7416.2,37823.32,77.0,2.0,personal auto,four-door car,554.4
165,north west,m,master,7771.16,21876.0,68.0,0.0,personal auto,four-door car,465.41
166,west region,f,bachelor,6968.34,37823.32,69.0,1.0,personal auto,four-door car,496.8
167,west region,f,high school or below,4250.28,37823.32,61.0,1.0,personal auto,four-door car,292.8
168,north west,f,high school or below,19776.57,70699.0,82.0,0.0,personal auto,four-door car,256.81
169,west region,f,high school or below,21343.47,37823.32,74.0,1.0,personal auto,four-door car,355.2
170,west region,m,college,2413.14,27501.0,63.0,0.0,personal auto,four-door car,542.32
171,north west,f,doctor,15363.85,15897.0,101.0,0.0,personal auto,four-door car,303.15
172,central,f,college,8456.96,25141.0,73.0,1.0,personal auto,four-door car,25.44
173,central,f,college,2189.64,37823.32,61.0,3.0,personal auto,four-door car,292.8
174,west region,m,high school or below,5780.18,51066.0,74.0,0.0,personal auto,four-door car,787.99
175,west region,f,bachelor,4639.98,28358.0,117.0,0.0,personal auto,sports car,84.02
176,east,f,doctor,3824.43,62530.0,95.0,0.0,personal auto,four-door car,61.69
177,central,f,bachelor,5968.12,90972.0,74.0,0.0,personal auto,two-door car,232.93
178,east,f,bachelor,8590.33,63110.0,72.0,0.0,personal auto,four-door car,68.18
179,west region,f,bachelor,4076.63,29549.0,104.0,0.0,personal auto,sports car,710.43
180,west region,f,bachelor,12252.6,37823.32,115.0,1.0,personal auto,four-door car,552.0
181,central,f,bachelor,16936.27,39411.0,217.0,2.0,personal auto,luxury car,1122.66
182,north west,m,high school or below,4892.44,21709.0,62.0,0.0,personal auto,four-door car,408.37
183,central,m,bachelor,9942.3,67890.0,85.0,0.0,personal auto,four-door car,408.0
184,west region,m,bachelor,3735.84,37823.32,110.0,0.0,personal auto,suv,792.0
185,west region,f,high school or below,13117.52,84311.0,111.0,4.0,personal auto,suv,532.8
186,west region,f,college,4574.52,99316.0,114.0,0.0,corporate auto,suv,754.36
187,central,f,bachelor,5470.06,54507.0,138.0,0.0,personal auto,suv,702.99
188,west region,f,bachelor,2978.85,64586.0,76.0,0.0,personal auto,four-door car,206.84
189,north west,m,college,6410.97,61709.0,82.0,2.0,personal auto,four-door car,275.4
190,west region,m,master,4479.02,94656.0,111.0,1.0,special auto,suv,459.74
191,west region,f,high school or below,2383.73,37823.32,69.0,0.0,special auto,two-door car,496.8
192,west region,m,bachelor,2764.49,61085.0,70.0,1.0,personal auto,two-door car,336.0
193,north west,f,bachelor,7920.11,89284.0,67.0,3.0,personal auto,two-door car,321.6
194,central,f,high school or below,6889.1,37823.32,63.0,0.0,personal auto,four-door car,302.4
195,east,f,bachelor,3274.19,31686.0,81.0,0.0,personal auto,four-door car,430.99
196,north west,m,high school or below,9951.71,56855.0,255.0,0.0,corporate auto,luxury suv,1836.0
197,north west,m,bachelor,2521.56,53703.0,67.0,2.0,special auto,four-door car,67.63
198,east,f,high school or below,23706.11,37823.32,96.0,1.0,personal auto,two-door car,844.48
199,west region,m,college,6047.03,20396.0,76.0,1.0,personal auto,four-door car,364.8
200,west region,f,master,11140.3,27679.0,150.0,0.0,personal auto,suv,722.49
201,central,f,bachelor,4334.06,23904.0,123.0,3.0,personal auto,suv,590.4
202,central,f,high school or below,2799.75,65351.0,69.0,0.0,corporate auto,four-door car,481.03
203,west region,m,college,7923.14,37823.32,113.0,0.0,personal auto,suv,1124.43
204,west region,m,high school or below,3688.11,37823.32,63.0,3.0,personal auto,four-door car,669.68
205,west region,m,college,12067.46,37823.32,116.0,0.0,personal auto,suv,1284.09
206,west region,f,college,2924.98,64459.0,72.0,0.0,personal auto,four-door car,240.26
207,west region,m,college,15014.09,32961.0,190.0,0.0,corporate auto,suv,912.0
208,north west,f,high school or below,9277.23,71416.0,116.0,0.0,corporate auto,suv,556.8
209,east,f,bachelor,6274.12,68964.0,78.0,0.0,personal auto,four-door car,115.09
210,west region,m,high school or below,3886.65,78108.0,98.0,0.0,personal auto,two-door car,470.4
211,west region,m,college,4386.28,10621.0,67.0,0.0,special auto,four-door car,321.6
212,east,m,college,11365.27,84910.0,95.0,0.0,corporate auto,two-door car,383.17
213,west region,f,high school or below,5610.96,77493.0,70.0,0.0,special auto,four-door car,307.96
214,central,m,college,2912.89,81097.0,74.0,0.0,personal auto,four-door car,355.2
215,north west,f,college,6915.73,96610.0,85.0,0.0,corporate auto,four-door car,520.36
216,north west,m,college,6262.66,30110.0,159.0,0.0,corporate auto,sports car,466.44
217,north west,f,high school or below,6503.4,22081.0,84.0,0.0,special auto,two-door car,451.67
218,east,f,high school or below,8007.4,37823.32,112.0,0.0,personal auto,sports car,537.6
219,west region,m,college,2929.92,98473.0,72.0,0.0,personal auto,four-door car,345.6
220,north west,f,bachelor,5969.55,97431.0,74.0,0.0,personal auto,four-door car,355.2
221,west region,m,bachelor,5473.16,93870.0,69.0,0.0,personal auto,four-door car,331.2
222,central,m,high school or below,5645.4,50366.0,72.0,0.0,personal auto,four-door car,428.73
223,east,m,high school or below,6369.26,34498.0,83.0,0.0,personal auto,two-door car,398.4
224,north west,f,college,11833.77,16552.0,103.0,0.0,personal auto,suv,494.4
225,north west,f,college,6121.11,26787.0,77.0,0.0,personal auto,four-door car,369.6
226,central,m,college,5159.37,37823.32,74.0,0.0,personal auto,two-door car,831.75
227,central,f,high school or below,2514.59,43860.0,65.0,0.0,corporate auto,four-door car,156.12
228,central,m,high school or below,8668.61,21474.0,114.0,2.0,corporate auto,suv,373.43
229,west region,m,bachelor,4960.97,18174.0,66.0,0.0,corporate auto,four-door car,395.93
230,central,f,bachelor,5504.14,37823.32,73.0,0.0,corporate auto,four-door car,350.4
231,central,m,college,7507.46,60920.0,64.0,0.0,personal auto,two-door car,231.2
232,central,m,high school or below,32269.85,41520.0,90.0,0.0,personal auto,four-door car,289.9
233,north west,f,bachelor,5657.03,37823.32,152.0,0.0,personal auto,suv,729.6
234,central,m,high school or below,5061.76,37823.32,68.0,0.0,personal auto,two-door car,326.4
235,west region,m,bachelor,5912.78,72208.0,73.0,0.0,personal auto,two-door car,350.4
236,west region,f,bachelor,15182.28,53863.0,63.0,0.0,personal auto,four-door car,105.77
237,east,m,college,10747.03,66446.0,136.0,0.0,corporate auto,suv,639.46
238,east,m,college,2050.62,37823.32,61.0,0.0,personal auto,four-door car,292.8
239,east,f,bachelor,2465.44,64997.0,63.0,1.0,personal auto,four-door car,383.44
240,central,f,high school or below,5343.12,64460.0,66.0,0.0,corporate auto,two-door car,316.8
241,central,f,college,8119.83,46618.0,67.0,0.0,personal auto,four-door car,99.09
242,north west,f,college,4605.27,37823.32,64.0,0.0,corporate auto,four-door car,307.2
243,west region,m,college,6408.79,49988.0,84.0,5.0,personal auto,two-door car,566.94
244,west region,f,college,2376.53,37823.32,91.0,5.0,personal auto,two-door car,436.8
245,west region,m,bachelor,3211.07,16269.0,86.0,0.0,corporate auto,two-door car,412.8
246,central,f,bachelor,5094.52,72006.0,64.0,0.0,personal auto,four-door car,307.2
247,central,f,high school or below,25755.28,37823.32,81.0,2.0,personal auto,four-door car,388.8
248,north west,m,bachelor,8672.23,37823.32,245.0,0.0,corporate auto,luxury suv,2345.41
249,west region,m,master,8044.73,44320.0,67.0,0.0,personal auto,four-door car,321.6
250,central,f,high school or below,4001.52,19782.0,108.0,0.0,personal auto,two-door car,773.47
251,central,f,bachelor,16706.12,63933.0,70.0,0.0,personal auto,two-door car,424.88
252,central,m,doctor,8544.41,28224.0,109.0,0.0,personal auto,suv,523.2
253,east,f,college,7805.31,21073.0,106.0,1.0,personal auto,suv,508.8
254,north west,m,bachelor,6112.76,63243.0,77.0,0.0,personal auto,four-door car,364.24
255,central,m,high school or below,4772.94,20993.0,133.0,0.0,personal auto,suv,638.4
256,north west,f,bachelor,10979.1,94827.0,135.0,0.0,personal auto,suv,354.73
257,west region,f,master,5004.26,39161.0,63.0,1.0,personal auto,two-door car,284.0
258,east,m,bachelor,13223.04,37534.0,84.0,2.0,personal auto,four-door car,403.2
259,north west,f,bachelor,2623.32,80210.0,65.0,0.0,corporate auto,four-door car,20.54
260,west region,m,bachelor,17840.2,37823.32,62.0,0.0,personal auto,four-door car,385.12
261,west region,f,college,5106.11,30110.0,64.0,0.0,personal auto,four-door car,140.17
262,central,f,college,17930.6,21708.0,68.0,0.0,personal auto,four-door car,326.4
263,central,m,high school or below,5457.34,94731.0,67.0,0.0,personal auto,four-door car,321.6
264,west region,m,bachelor,6563.64,32375.0,83.0,0.0,personal auto,four-door car,398.4
265,north west,m,college,4812.53,16531.0,63.0,0.0,corporate auto,four-door car,102.88
266,central,f,master,29328.04,32006.0,94.0,0.0,corporate auto,four-door car,56.87
267,central,f,bachelor,5773.52,81676.0,72.0,0.0,personal auto,two-door car,463.16
268,west region,m,college,6847.12,71038.0,86.0,0.0,corporate auto,four-door car,205.44
269,central,f,high school or below,3595.31,37823.32,103.0,0.0,corporate auto,sports car,741.6
270,central,f,master,22855.61,20832.0,65.0,0.0,personal auto,two-door car,56.37
271,east,m,high school or below,7859.41,37823.32,113.0,0.0,personal auto,suv,813.6
272,north west,m,high school or below,4115.58,52405.0,103.0,0.0,personal auto,four-door car,494.4
273,central,f,high school or below,5029.64,37823.32,133.0,0.0,personal auto,sports car,795.86
274,east,f,bachelor,4821.42,26583.0,1005.0,4.0,personal auto,suv,614.4
275,north west,m,master,5004.31,25486.0,65.0,0.0,special auto,two-door car,72.44
276,central,m,college,8630.05,24065.0,111.0,0.0,corporate auto,four-door car,532.8
277,central,f,high school or below,9322.09,70435.0,116.0,0.0,personal auto,four-door car,67.88
278,west region,m,college,16727.56,37823.32,76.0,2.0,personal auto,two-door car,402.64
279,north west,f,high school or below,3652.53,39679.0,92.0,0.0,personal auto,two-door car,641.39
280,central,m,college,6158.6,37823.32,89.0,0.0,personal auto,four-door car,342.48
281,west region,m,bachelor,4376.08,37823.32,69.0,4.0,personal auto,two-door car,331.2
282,central,m,high school or below,5569.46,53565.0,71.0,1.0,personal auto,four-door car,340.8
283,east,m,bachelor,2576.51,37574.0,66.0,1.0,personal auto,two-door car,412.1
284,east,m,bachelor,8346.98,48259.0,108.0,0.0,personal auto,two-door car,73.7
285,central,f,high school or below,6323.92,78532.0,78.0,0.0,personal auto,four-door car,374.4
286,central,f,bachelor,5973.14,96163.0,73.0,0.0,corporate auto,four-door car,350.4
287,west region,m,bachelor,4706.68,37823.32,72.0,0.0,personal auto,four-door car,345.6
288,west region,m,high school or below,8093.41,37823.32,114.0,1.0,personal auto,sports car,722.02
289,east,m,college,5035.74,72672.0,63.0,0.0,personal auto,four-door car,259.36
290,north west,f,bachelor,9027.87,99002.0,112.0,1.0,personal auto,four-door car,537.6
291,west region,m,high school or below,7288.88,79494.0,91.0,0.0,personal auto,four-door car,396.3
292,north west,m,master,18042.48,35704.0,225.0,0.0,personal auto,luxury car,358.28
293,central,f,bachelor,4992.06,37823.32,71.0,0.0,corporate auto,four-door car,653.39
294,north west,f,high school or below,9102.27,26049.0,118.0,0.0,personal auto,two-door car,121.03
295,central,m,doctor,2540.41,70125.0,64.0,0.0,special auto,four-door car,92.81
296,west region,m,college,12941.89,52369.0,110.0,1.0,personal auto,suv,528.0
297,east,f,bachelor,2365.35,37823.32,66.0,2.0,special auto,four-door car,159.64
298,central,m,college,5720.77,41770.0,72.0,0.0,personal auto,four-door car,476.16
299,north west,m,high school or below,7035.53,37823.32,101.0,0.0,corporate auto,four-door car,727.2
300,west region,m,college,2636.98,31911.0,67.0,0.0,personal auto,four-door car,321.6
301,central,m,bachelor,5395.83,70051.0,68.0,0.0,corporate auto,four-door car,42.08
302,north west,m,high school or below,8382.63,19683.0,117.0,1.0,personal auto,sports car,561.6
303,east,f,college,31161.75,30916.0,112.0,0.0,personal auto,suv,200.12
304,north west,f,bachelor,2887.74,37823.32,80.0,0.0,personal auto,four-door car,676.94
305,east,m,college,7425.85,84302.0,62.0,0.0,personal auto,four-door car,76.61
306,west region,m,bachelor,25585.73,37823.32,116.0,0.0,corporate auto,suv,830.62
307,north west,m,college,10272.61,60145.0,132.0,0.0,personal auto,suv,580.47
308,north west,f,bachelor,4376.36,63774.0,111.0,0.0,personal auto,four-door car,60.04
309,west region,f,bachelor,5318.9,25134.0,67.0,0.0,corporate auto,four-door car,321.6
310,north west,m,bachelor,4719.76,37057.0,61.0,1.0,personal auto,four-door car,47.53
311,north west,f,high school or below,4428.03,58577.0,110.0,0.0,personal auto,suv,303.87
312,west region,m,high school or below,5879.18,85857.0,73.0,0.0,corporate auto,four-door car,100.62
313,north west,f,doctor,9416.91,70602.0,116.0,0.0,personal auto,suv,481.34
314,north west,f,master,8288.16,33816.0,106.0,2.0,corporate auto,four-door car,508.8
315,north west,m,bachelor,32654.84,37823.32,153.0,0.0,personal auto,suv,1101.6
316,north west,f,college,4719.45,89642.0,121.0,4.0,corporate auto,suv,86.32
317,west region,f,bachelor,3903.47,60068.0,98.0,0.0,personal auto,two-door car,470.4
318,west region,f,bachelor,5457.26,50044.0,139.0,0.0,personal auto,suv,667.2
319,west region,f,master,2725.36,36650.0,69.0,1.0,personal auto,four-door car,56.6
320,central,f,college,4433.97,50653.0,110.0,0.0,corporate auto,suv,262.87
321,central,f,doctor,5332.46,68931.0,66.0,0.0,personal auto,four-door car,309.58
322,north west,m,bachelor,2315.09,37823.32,73.0,1.0,corporate auto,four-door car,350.4
323,west region,f,college,5411.95,37823.32,73.0,0.0,personal auto,four-door car,365.36
324,west region,m,bachelor,9587.33,39266.0,80.0,0.0,personal auto,four-door car,384.0
325,west region,m,college,22103.51,37823.32,102.0,0.0,personal auto,suv,489.6
326,central,f,high school or below,9764.95,37823.32,98.0,1.0,personal auto,four-door car,705.6
327,central,f,bachelor,2567.15,40864.0,65.0,0.0,corporate auto,four-door car,9.52
328,north west,f,college,2650.62,39035.0,68.0,0.0,personal auto,four-door car,244.56
329,west region,m,bachelor,11264.36,34923.0,98.0,0.0,personal auto,two-door car,639.11
330,west region,m,high school or below,2168.52,37823.32,63.0,0.0,personal auto,four-door car,453.6
